iter	Passed	Remaining
0	1	179
1	3	150
2	4	133
3	5	120
4	6	115
5	7	112
6	8	109
7	9	110
8	10	108
9	11	106
10	12	105
11	14	103
12	15	101
13	16	100
14	17	98
15	18	96
16	19	95
17	20	93
18	21	92
19	22	90
20	23	89
21	24	87
22	25	86
23	27	85
24	28	84
25	29	82
26	29	81
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	71
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	47	60
44	48	59
45	49	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	81	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	109	0
