iter	Passed	Remaining
0	12	12969
1	14	7172
2	15	5212
3	16	4230
4	18	3693
5	19	3306
6	21	3023
7	22	2804
8	23	2629
9	25	2490
10	26	2370
11	27	2272
12	29	2202
13	30	2131
14	31	2074
15	32	2020
16	34	1978
17	35	1945
18	36	1908
19	38	1875
20	39	1839
21	40	1810
22	42	1790
23	43	1767
24	44	1746
25	46	1728
26	47	1712
27	48	1693
28	50	1676
29	51	1672
30	53	1658
31	54	1645
32	55	1636
33	57	1631
34	58	1625
35	60	1618
36	61	1608
37	63	1597
38	64	1587
39	65	1576
40	66	1567
41	68	1562
42	69	1556
43	71	1549
44	72	1542
45	73	1534
46	75	1527
47	76	1518
48	77	1510
49	79	1503
50	80	1497
51	81	1491
52	83	1485
53	84	1484
54	86	1478
55	87	1472
56	88	1467
57	89	1459
58	91	1454
59	92	1448
60	93	1442
61	94	1436
62	96	1431
63	97	1427
64	98	1423
65	100	1419
66	101	1418
67	103	1414
68	104	1410
69	105	1405
70	107	1400
71	108	1397
72	109	1392
73	110	1385
74	111	1379
75	113	1374
76	114	1369
77	115	1363
78	116	1357
79	117	1354
80	118	1349
81	120	1344
82	120	1333
83	121	1327
84	122	1322
85	123	1317
86	124	1311
87	126	1306
88	127	1302
89	128	1298
90	129	1294
91	130	1289
92	131	1285
93	132	1280
94	133	1276
95	135	1275
96	136	1272
97	137	1269
98	139	1265
99	140	1262
100	141	1259
101	142	1255
102	143	1252
103	145	1249
104	146	1246
105	147	1243
106	148	1239
107	149	1235
108	150	1232
109	152	1231
110	153	1228
111	154	1225
112	155	1222
113	156	1218
114	157	1214
115	158	1211
116	159	1206
117	160	1202
118	162	1199
119	163	1196
120	164	1193
121	165	1188
122	166	1184
123	167	1183
124	168	1180
125	169	1177
126	170	1173
127	171	1170
128	172	1167
129	173	1164
130	175	1161
131	176	1158
132	177	1155
133	178	1152
134	179	1149
135	180	1147
136	181	1144
137	182	1142
138	184	1140
139	185	1137
140	186	1135
141	187	1130
142	188	1128
143	189	1125
144	190	1122
145	191	1120
146	192	1117
147	193	1114
148	194	1111
149	195	1110
150	197	1109
151	198	1107
152	199	1105
153	201	1104
154	202	1102
155	203	1100
156	204	1098
157	205	1096
158	206	1094
159	208	1092
160	208	1087
161	210	1086
162	211	1085
163	212	1084
164	214	1085
165	216	1085
166	217	1085
167	219	1085
168	220	1084
169	221	1083
170	223	1084
171	225	1083
172	226	1082
173	227	1082
174	229	1081
175	231	1082
176	232	1081
177	234	1080
178	235	1079
179	236	1077
180	237	1076
181	239	1074
182	240	1073
183	241	1072
184	243	1071
185	244	1070
186	245	1068
187	247	1067
188	248	1067
189	250	1068
190	251	1067
191	253	1066
192	254	1064
193	255	1063
194	257	1063
195	259	1063
196	260	1062
197	262	1062
198	263	1060
199	266	1065
200	267	1064
201	269	1063
202	270	1062
203	272	1062
204	273	1061
205	275	1060
206	276	1059
207	277	1058
208	279	1057
209	280	1055
210	281	1053
211	283	1052
212	284	1052
213	286	1052
214	287	1051
215	289	1050
216	291	1050
217	292	1049
218	294	1048
219	295	1047
220	296	1046
221	298	1046
222	300	1046
223	301	1045
224	303	1045
225	304	1044
226	306	1043
227	307	1041
228	309	1041
229	310	1040
230	312	1039
231	313	1038
232	316	1041
233	318	1041
234	319	1040
235	321	1039
236	322	1038
237	323	1036
238	325	1035
239	326	1033
240	327	1032
241	329	1030
242	330	1030
243	332	1029
244	334	1031
245	336	1030
246	337	1029
247	339	1028
248	340	1028
249	342	1027
250	344	1027
251	345	1025
252	346	1024
253	348	1024
254	350	1024
255	351	1022
256	354	1024
257	355	1023
258	357	1022
259	358	1020
260	359	1018
261	361	1017
262	362	1016
263	364	1016
264	366	1017
265	368	1016
266	369	1015
267	371	1014
268	372	1013
269	374	1012
270	376	1012
271	377	1011
272	379	1011
273	381	1010
274	383	1010
275	384	1009
276	386	1008
277	387	1006
278	389	1005
279	390	1003
280	391	1002
281	393	1000
282	394	999
283	395	997
284	397	996
285	398	994
286	400	994
287	402	993
288	403	992
289	405	991
290	406	990
291	408	989
292	409	987
293	410	986
294	412	984
295	413	983
296	415	982
297	416	982
298	418	981
299	420	981
300	422	980
301	423	978
302	424	977
303	425	975
304	427	973
305	428	971
306	429	969
307	430	967
308	431	965
309	433	964
310	434	962
311	435	961
312	437	959
313	438	958
314	439	956
315	441	955
316	442	953
317	443	951
318	445	950
